Name	Artist	Composer	Album	Grouping	Genre	Size	Time	Disc Number	Disc Count	Track Number	Track Count	Year	Date Modified	Date Added	Bit Rate	Sample Rate	Volume Adjustment	Kind	Equalizer	Comments	Play Count	Last Played	My Rating	Location	366
Van	Descendents	Milo	All		Alternative & Punk	3632678	181			4	13	1987	6/25/05 2:37 PM	7/19/05 11:46 AM	160	44100		MPEG audio file						MP3Vol366:Descendents:All:04 Van.mp3	366
Cameage	Descendents	Milo	All		Alternative & Punk	3704780	185			5	13	1987	6/25/05 2:40 PM	7/19/05 11:46 AM	160	44100		MPEG audio file						MP3Vol366:Descendents:All:05 Cameage.mp3	366
Impressions	Descendents	Milo	All		Alternative & Punk	3771657	188			6	13	1987	6/25/05 2:42 PM	7/19/05 11:46 AM	160	44100		MPEG audio file						MP3Vol366:Descendents:All:06 Impressions.mp3	366
Iceman	Descendents	Milo	All		Alternative & Punk	3890248	194			7	13	1987	6/25/05 2:45 PM	7/19/05 11:46 AM	160	44100		MPEG audio file						MP3Vol366:Descendents:All:07 Iceman.mp3	366
Jealous of the World	Descendents	Milo	All		Alternative & Punk	4875601	243			8	13	1987	6/25/05 2:48 PM	7/19/05 11:46 AM	160	44100		MPEG audio file						MP3Vol366:Descendents:All:08 Jealous of the World.mp3	366
Clean Sheets	Descendents	Milo	All		Alternative & Punk	3898091	194			9	13	1987	6/25/05 2:50 PM	7/19/05 11:46 AM	160	44100		MPEG audio file						MP3Vol366:Descendents:All:09 Clean Sheets.mp3	366
Pep-Talk	Descendents	Milo	All		Alternative & Punk	3719410	185			10	13	1987	6/25/05 2:53 PM	7/19/05 11:46 AM	160	44100		MPEG audio file						MP3Vol366:Descendents:All:10 Pep-Talk.mp3	366
All-O-Gistics	Descendents	Milo	All		Alternative & Punk	3676575	183			11	13	1987	6/25/05 2:55 PM	7/19/05 11:46 AM	160	44100		MPEG audio file						MP3Vol366:Descendents:All:11 All-O-Gistics.mp3	366
Schizophrenia	Descendents	Milo	All		Alternative & Punk	8208819	410			12	13	1987	6/25/05 3:01 PM	7/19/05 11:46 AM	160	44100		MPEG audio file						MP3Vol366:Descendents:All:12 Schizophrenia.mp3	366
Uranus	Descendents	Milo	All		Alternative & Punk	2725710	136			13	13	1987	6/25/05 3:02 PM	7/19/05 11:46 AM	160	44100		MPEG audio file						MP3Vol366:Descendents:All:13 Uranus.mp3	366
*Dexterity Intro	Matisse*		Dexterity-Hollow Point (Hip Ho		Dance Hall	1179296	53					2005	7/16/05 9:04 PM	7/19/05 11:46 AM	177	44100		MPEG audio file		MrT				MP3Vol366:Dexterity-Hollow Point_:01-matisse-dexterity_intro-MrT.mp3	366
*Dirty Combination (Sample)	Spida*		Dexterity-Hollow Point (Hip Ho		Dance Hall	4021769	144					2005	7/16/05 9:03 PM	7/19/05 11:46 AM	222	44100		MPEG audio file		MrT				MP3Vol366:Dexterity-Hollow Point_:02-spida-dirty_combination_(sample)-MrT.mp3	366
*Ya. Ya (Sample)	Elephant Man*		Dexterity-Hollow Point (Hip Ho		Dance Hall	3647224	140					2005	7/16/05 9:02 PM	7/19/05 11:46 AM	207	44100		MPEG audio file		MrT				MP3Vol366:Dexterity-Hollow Point_:03-elephant_man-ya._ya_(sample)-MrT.mp3	366
*What U Gon Do (Remix)	Lil Jon Ft. Elephant Man And L		Dexterity-Hollow Point (Hip Ho		Dance Hall	7051545	242					2005	7/16/05 9:01 PM	7/19/05 11:46 AM	232	44100		MPEG audio file		MrT				MP3Vol366:Dexterity-Hollow Point_:04-lil_jon_ft._elephant_man_and_lady_saw-what_u_gon_do_(remix)-MrT.mp3	366
*Hurricane Like Its Hot	Kardinal Offishall*		Dexterity-Hollow Point (Hip Ho		Dance Hall	4135933	169					2005	7/16/05 8:59 PM	7/19/05 11:46 AM	195	44100		MPEG audio file		MrT				MP3Vol366:Dexterity-Hollow Point_:05-kardinal_offishall-hurricane_like_its_hot-MrT.mp3	366
*Drop Ya Draws	Ce Ce*		Dexterity-Hollow Point (Hip Ho		Dance Hall	3118362	140					2005	7/16/05 8:58 PM	7/19/05 11:46 AM	177	44100		MPEG audio file		MrT				MP3Vol366:Dexterity-Hollow Point_:06-ce_ce-drop_ya_draws-MrT.mp3	366
*Keep It Movin	Missy And Elephant Man*		Dexterity-Hollow Point (Hip Ho		Dance Hall	3795418	182					2005	7/16/05 8:57 PM	7/19/05 11:46 AM	165	44100		MPEG audio file		MrT				MP3Vol366:Dexterity-Hollow Point_:07-missy_and_elephant_man-keep_it_movin-MrT.mp3	366
*Ganja Shop (Sample)	Shifta Fras Crew*		Dexterity-Hollow Point (Hip Ho		Dance Hall	2168292	99					2005	7/16/05 8:56 PM	7/19/05 11:46 AM	174	44100		MPEG audio file		MrT				MP3Vol366:Dexterity-Hollow Point_:08-shifta_fras_crew-ganja_shop_(sample)-MrT.mp3	366
